"","SRR7624365","SRR7624366","SRR7624367","SRR7624368","SRR7624369","SRR7624370","SRR7624371","SRR7624372","SRR7624373","SRR7624374","SRR7624375","SRR7624376","SRR7624377","SRR7624378","SRR7624379","SRR7624380"
"ENSMUSG00000002985",85822.125,50548.1875,50548.1875,26770.75,26423.5,34500.3125,16345.75,17334.5625,13060.375,14724.53125,9881.625,11227.78125,9308.4375,16174.75,19081,23085.75
"ENSMUSG00000002984",11901,10838.6875,9146.0625,9809.625,10036.6875,9631.6875,14032.1875,11801.5,16534.1875,10713.1875,15184.0625,14741.4375,17373.5625,10731.25,10166.125,9409
"ENSMUSG00000062300",9006.6875,7452.53125,6637.3125,6617.9375,8570.375,8541.3125,8641,7493.1875,8172,6823.875,9109.4375,8152.125,10519.375,10225.375,16626.375,14364.78125
"ENSMUSG00000002980",6322.75,2384.28125,5157.9375,4712.9375,5815.625,4443.1875,8897.625,7135.625,8720.4375,5825.625,4999.125,4706.8125,5803.75,4920.125,7671.25,6027.875
"ENSMUSG00000109136",20,20,20,28.9375,30.125,20,45.25,38.875,40,20,20,20,20,20,32.3125,37.8125
"ENSMUSG00000097226",20,20,20,20,20,20,26.4375,29.375,24.4375,20,20,20,20,20,34.125,41
"ENSMUSG00000040525",404.375,228.71875,262.625,230.6875,157.0625,141.625,121.25,150.6875,162.125,214.3125,156.8125,168.6875,265.21875,290,430.5,348.3125
"ENSMUSG00000053175",3271.9375,1693.8125,1441.375,966.6875,159.8125,143.0625,115.84375,103.6875,64.4375,47.625,24.1875,24.625,20,53.25,49.875,24.4375
"ENSMUSG00000087593",33,23.5,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000092216",20,20,20,20,20,20,20,20,20,20,20,20,30.4375,20,20,20
"ENSMUSG00000014686",20,30.4375,20,21.5,20.4375,28.25,20,51.25,20,20,20,20,20,20,21,20
"ENSMUSG00000049848",122.875,132.8125,148.8125,152.4375,139.75,110.28125,149.84375,135.46875,136.5,88.71875,127.75,130.09375,111.125,199.9375,57.9375,104
"ENSMUSG00000108942",20,24.4375,59.625,56.625,65.625,29.125,63.875,20,35.375,20,41.625,53.5625,20,20,20,20
"ENSMUSG00000040511",2137.4375,1966.9375,2077.59375,1931.25,1316.875,1336.09375,938.625,1081.3125,857.5625,752.9375,840.0625,876.625,631.0625,835.03125,467.1875,514.9375
"ENSMUSG00000089886",22.375,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000090075",37.75,20,20,20,20,20,20,20,28.4375,45.0625,29.5625,41.875,33.875,30.5,68.28125,34.625
"ENSMUSG00000040498",1407.9375,1166.125,1166.71875,1161,1351.71875,1493,1148.75,1299.0625,1751.71875,1800.625,1562.5,1597.0625,1096.03125,998.625,441,561.40625
"ENSMUSG00000070777",89.8125,112.3125,37.75,37.125,48.4375,57.5625,68.0625,50.3125,100.3125,114.1875,113.5,164.3125,70.34375,105.6875,24.25,20
"ENSMUSG00000060508",289.8125,275.6875,200.6875,169,113.90625,176.5625,164.6875,348.4375,465.8125,605.34375,1199.1875,1246.25,1063.84375,1303.3125,313.75,433.1875
"ENSMUSG00000045693",20,20,20,26.75,21.28125,20,20,20,20,22.1875,20,20,20,20,20,20
"ENSMUSG00000015721",20,20,20,20,20,20,20,20,24.4375,22.1875,20,20,20,20,20,20
"ENSMUSG00000066724",45.125,30.4375,20,31.1875,24.75,28.25,33.875,22.1875,32.6875,41.125,36.4375,27.09375,32.6875,40.4375,33.3125,28.0625
"ENSMUSG00000057101",2101.25,3190.3125,3593.3125,3750.03125,2699.3125,3022.1875,2857.9375,2728.9375,2534.625,2875.03125,3322.3125,3162.78125,3004.3125,2964.4375,2182.0625,2543.3125
"ENSMUSG00000052675",99.625,114.34375,59.625,67.90625,157.875,148.96875,163.09375,166,133.125,102.75,71.75,44.1875,31.5,45.3125,39.4375,76.375
"ENSMUSG00000047603",799.375,761.3125,266.8125,357.5625,775.5625,668.15625,707.5,806.0625,681.125,602.375,712.375,692.15625,766.9375,654.5,501.9375,605.03125
"ENSMUSG00000068962",108.375,102.875,48.375,64.625,142.0625,128.53125,143.5,130.65625,133.125,128.75,245.4375,211.1875,263.375,178.875,178.6875,190.625
"ENSMUSG00000087598",2416.4375,2022.90625,1596.5625,1693.8125,1787.75,1763.59375,1770.90625,1942.03125,1625.78125,1704.9375,2112.6875,2193.125,2031,1685.6875,1658.5625,1638.625
"ENSMUSG00000074283",443.8125,430.8125,286.5,355.65625,501.125,560.25,492.6875,558.25,449.75,414.34375,525.375,503.59375,607.25,622,511.625,608.375
"ENSMUSG00000030486",197.375,150.125,106,99.625,236.1875,202.375,138.1875,208.375,147.625,133.4375,87.8125,90.125,134.09375,114,126.21875,155.25
"ENSMUSG00000055305",304.71875,328.125,398.1875,376.0625,957.75,1007.84375,922.71875,955.8125,912.21875,629.125,1038.25,1068.84375,689.96875,512.5,614.125,747.75
"ENSMUSG00000118477",20,20,20,20,20,20,41.8125,65.375,71.0625,62.4375,106.75,113.28125,52.9375,44.1875,55.59375,81.5
"ENSMUSG00000118444",20,20,20,20,20,20,20,20,41.875,24.75,59.0625,35.5,48.375,21.0625,21.5,23.3125
"ENSMUSG00000050605",886.75,1008.6875,542.3125,708.5625,1348.9375,1458.75,1364.9375,1581.6875,708.75,809.03125,838.5625,843,847.5625,716.96875,768.8125,938.625
"ENSMUSG00000074282",156.5625,139.6875,88.96875,76.1875,339.25,307.5625,278.5625,237.0625,157.0625,120.25,224.4375,173.1875,379.78125,323.59375,487.375,561.40625
"ENSMUSG00000055826",34.96875,20,20,20,24.75,20,25.46875,20,30.53125,20,40.5625,35.5,74.3125,36.125,29.6875,54.6875
"ENSMUSG00000054342",24.34375,20,20,22.5625,20,20,20,20,33.625,30.4375,36.4375,31.8125,102.375,78.3125,57.9375,32.5
"ENSMUSG00000002210",1333.78125,1149.6875,804.96875,819,770.59375,704.5625,1038.9375,931.125,1190.71875,1073.9375,1364.8125,1318.09375,1678.5625,1886.5625,1288.6875,1207.28125
"ENSMUSG00000046223",277.53125,154.84375,1085.65625,637.8125,2505,4857.6875,838.21875,915.96875,951.1875,723.28125,571.53125,619.8125,160.59375,170.6875,206.3125,145.3125
"ENSMUSG00000054793",1541.1875,1025.3125,1156.875,1018.09375,672.625,695.8125,646,659.46875,383.625,494.3125,119.6875,125.75,160.59375,253.34375,57.9375,112
"ENSMUSG00000064264",2295.5,1091.65625,1182.125,1114.625,2225.0625,1804.5,3246.25,2848.53125,4861.6875,3069.4375,2136.875,2402.5,1604.125,1159.375,322.25,365
"ENSMUSG00000117477",102.875,79.8125,98.9375,109.125,229.34375,210.6875,305.25,268.84375,239.6875,235.4375,150,180.1875,47.3125,54.21875,49.0625,20
"ENSMUSG00000041037",1432.96875,952.25,894.75,899.4375,810.875,760.9375,855.6875,745.5,671.9375,825.375,562.3125,816.1875,556.375,644.125,918.84375,719.8125
"ENSMUSG00000011632",20,20,20,20,20,20,20,20,20,20,20,20,20,20,28.875,20
"ENSMUSG00000051768",8633.5625,9603,6513.1875,5919.125,5287.8125,4716.5625,9043.625,7558.125,7911.5,7164.375,7141.3125,6392.625,7896.5625,7439.6875,6689.8125,6540.9375
"ENSMUSG00000064254",537.78125,464.59375,598.8125,598.5,450.28125,337.40625,573.75,505.5625,847.5625,673.5625,448.21875,552.09375,678.34375,549.75,676.4375,602.96875
"ENSMUSG00000074277",63.1875,47.4375,40.875,53.6875,63.5625,50.3125,43,37.75,97.1875,45.0625,86.8125,64.625,104.3125,46.3125,174.25,90.25
"ENSMUSG00000057454",20,20,20,20,20,20,20,20,20,20,20,20,32.6875,20,20,20
"ENSMUSG00000108470",20,20,20,20,20,20,20,20,26.5625,20,29.5625,36.9375,20,25.5625,20,20
"ENSMUSG00000062773",20,20,53.875,63.5,152.125,68.375,113.59375,65.375,116.1875,67.75,136.09375,67.0625,138.8125,111,20,24.4375
"ENSMUSG00000052212",20,20,20,20,33.875,20,20,20,20,27.5,20,20,20,39.1875,20,20
"ENSMUSG00000054169",139.8125,195.75,486.75,239.625,469.5,420.375,160.875,100.625,41.875,20.6875,22.1875,20,33.875,30.5,46.125,37.8125
"ENSMUSG00000011350",20,20,20,20,20,20,20,20,20,45.0625,40.5625,62.3125,20,40.4375,20,20
"ENSMUSG00000091955",109.9375,82,79.9375,118.8125,118.75,135.9375,113.59375,109.25,130.8125,138.71875,97.8125,53.5625,91.8125,99.9375,69.9375,74.3125
"ENSMUSG00000011349",85.875,35.125,28.4375,20,21.28125,22.9375,55.9375,55.6875,105.875,70.75,54.90625,71.75,67.75,83,53.5625,35.625
"ENSMUSG00000040952",72085.125,52413.125,57616.5625,49867.625,51050.125,54271,49053.75,45974.875,50548.1875,42313.0625,43191.125,43517.4375,56103.25,54669.3125,59494.25,66188.5
"ENSMUSG00000003379",20,20,20,20,20,20,20,20,20,20,22.1875,20,64.9375,65.78125,22.375,20
"ENSMUSG00000040940",2906.4375,2500.4375,1928.625,2042.875,2092.75,2117,3008.375,2568.96875,3075.375,2893.375,3034.8125,3461.5,3477.9375,2761.4375,3558.15625,2842.46875
"ENSMUSG00000003380",2921.625,1706.8125,2226.625,2022.125,1834.1875,1882.1875,1880,1890.5625,2159.9375,2001.03125,1843.5625,2165.78125,2455.0625,2102.5,2536.625,2551.8125
"ENSMUSG00000040907",234.25,101.9375,95.125,104.875,33.875,64.25,119.15625,226,566.5,650.125,811.8125,1341.46875,1605.875,1730,987.3125,1091.28125
"ENSMUSG00000003378",187.1875,204.0625,142.125,87.5,65.625,88.625,78.9375,128.5625,170.6875,184.0625,479.90625,778.5625,918.84375,758.375,1083.84375,781.8125
"ENSMUSG00000045252",2505.6875,1766.09375,1919.0625,1706,2192.46875,1674.28125,2430.25,1620.0625,2249.3125,1547.0625,2943.9375,2499.5625,2893.78125,1844.5,1828.875,1408.1875
"ENSMUSG00000008496",28.34375,30.4375,20,28.9375,20,20,31.9375,20,75.6875,78.9375,214.75,384.8125,231.125,420.5,120.4375,152.3125
"ENSMUSG00000074274",20,20,20,20,20,20,20,20,35.375,20,20,20,20,20,20,20
"ENSMUSG00000054499",1545.875,1277.59375,836.65625,853.75,1055.71875,1072.90625,1299.0625,1146.1875,1236.40625,1001.96875,1366.5,1386.625,1286.9375,883.40625,1509.28125,1156.65625
"ENSMUSG00000046541",986.1875,900.53125,598.8125,444.21875,773.34375,667.375,976.5625,631.625,707.75,471.9375,621.625,476.9375,462.1875,329,413.25,363.3125
"ENSMUSG00000057177",2645.125,2024,2494.34375,2172.875,2123.9375,2093.4375,2318.875,2165.5,2526.125,2030.375,2657.75,2525.0625,2870.875,1912.625,2352.5625,1980.125
"ENSMUSG00000090330",292.3125,225.53125,167.125,138.53125,181.5625,200.71875,141,169.9375,163.53125,144.0625,156.8125,162.84375,130.4375,73.8125,136.3125,95.25
"ENSMUSG00000040857",6113.875,5173.09375,4101.8125,5337.75,3786.9375,3849.8125,4259.5625,3764.65625,3416.75,2172.875,3309.4375,2789.375,3256.0625,2302.78125,2581.25,1689.375
"ENSMUSG00000005442",7643.8125,5974.0625,5150.1875,3405.96875,3575.40625,2890.1875,5014.5,3373.8125,4202.5625,2980.625,4171.9375,4971.3125,4193.15625,3003.34375,4525.5625,2572.375
"ENSMUSG00000005447",2300.65625,2042.625,2059.5,2185.75,1915.4375,1967.375,2064.46875,1938.9375,2622.34375,2731.15625,3139.375,2975.5,3253.8125,3165.9375,2680.4375,2862.875
"ENSMUSG00000058741",78.5,54.625,29.4375,39.1875,161.96875,111.09375,160.875,167.9375,621.8125,360.53125,1073.9375,1019,673.5,652.0625,134.25,147.75
"ENSMUSG00000043843",22.375,20,20,20,20,20,20,20,85.21875,75.3125,184.78125,206.0625,218.8125,284.96875,215.625,241.6875
"ENSMUSG00000045039",3870.9375,4466.5625,2873.1875,1729.625,2803.0625,2462.125,3576.71875,2928.5,3030,2510.6875,4647,5154.875,6400.65625,5117.6875,9952.875,5503.90625
"ENSMUSG00000053714",109.9375,222.0625,172.1875,135.4375,299.65625,296.6875,257.21875,241.78125,145.4375,221,97.8125,144.0625,97.0625,125.03125,76.3125,83.34375
"ENSMUSG00000003123",531.75,754.8125,498.0625,550.53125,688.625,607.75,785.53125,662.5625,461.5625,563.125,377.0625,297.03125,210.6875,203.0625,158.75,112
"ENSMUSG00000060188",33.9375,20,22.5625,20,30.125,22.9375,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000108518",53.9375,92.78125,26.5625,38.1875,90.5,98.875,71.0625,100.625,72.125,76.3125,47.53125,77.59375,49.3125,54.21875,35.125,35.625
"ENSMUSG00000108503",24.34375,32.1875,20,20,54.875,39.71875,26.4375,42.75,48.625,34.625,40.5625,60.0625,20,21.0625,20,20
"ENSMUSG00000081732",20,20.5625,20,23.5,20,20,20,20,20,20,20,29.4375,20,20,20,20
"ENSMUSG00000074272",783.46875,1016.09375,716.375,760.25,462.125,433.34375,383.125,523.78125,125.4375,315.65625,30.6875,44.1875,26.375,25.5625,35.125,20
"ENSMUSG00000054385",48.5625,85.875,48.375,109.125,143.625,237.375,111.0625,146.5,96.21875,91.8125,20,20,20,20,20,20
"ENSMUSG00000057229",2231.5625,2182.46875,2299.125,2461.875,2685,2510.6875,3235,3331.4375,3558.875,2969.59375,3735.125,3450.5,4275.4375,1945.875,2934.9375,2391.96875
"ENSMUSG00000059479",95.75,104.5625,114.53125,143,108.3125,95.96875,157.875,166,117.9375,147.9375,86.8125,94,96.09375,55.5625,154.5625,113.625
"ENSMUSG00000060376",1471.90625,1464.375,1418.75,1413.625,1453.4375,1393.25,2264.5,1960.0625,2097.8125,1963.5,1456.28125,1379.59375,1109.8125,1313.4375,1184.125,1390.375
"ENSMUSG00000061286",6126.8125,4975.75,5403.34375,4818.3125,5910.4375,5509.21875,7524.78125,7046.8125,9444.3125,6780.3125,7290.0625,7131.1875,6524.375,6685.875,4970.25,6375.75
