"","SRR7624365","SRR7624366","SRR7624367","SRR7624368","SRR7624369","SRR7624370","SRR7624371","SRR7624372","SRR7624373","SRR7624374","SRR7624375","SRR7624376","SRR7624377","SRR7624378","SRR7624379","SRR7624380"
"ENSMUSG00000051951",20,20,20,20,20,20,20,20,20,20,49.65625,43.03125,105.21875,106.90625,426.59375,481.25
"ENSMUSG00000103377",20,20,20,20,20,20,20,20,20,20,20,20,20,20,25.90625,38.90625
"ENSMUSG00000103201",20,20,20,20,20,20,20,20,20,20,20,20,20,20,29.6875,20
"ENSMUSG00000103161",20,20,20,20,20,20,20,20,20,20,20,20,20,20,45.1875,29.125
"ENSMUSG00000102331",20,20,20,20,20,20,20,20,20,20,20,36.9375,20,27.5625,106.875,89.4375
"ENSMUSG00000102343",20,20,20,20,26.5625,27.375,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000025902",73.40625,51.1875,77.59375,91,26.5625,46.25,20,27.1875,20,20,20,20,20,29.6875,20,20
"ENSMUSG00000102269",20,27.125,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000098104",57.75,45.9375,32.6875,41.0625,33.875,48.28125,41.8125,43.8125,71.0625,37.1875,36.4375,29.4375,58.875,62.9375,43.375,64.3125
"ENSMUSG00000103922",242.6875,236.875,269.78125,335.1875,328.53125,328.53125,302.625,370.6875,313.6875,280.0625,292.8125,255.3125,217.875,184.09375,149.25,174.125
"ENSMUSG00000033845",11297.5625,10048.5,9752.75,10820.6875,12486.1875,11979.25,14720.875,15250.375,16345.75,15049.75,14560,13665.6875,15928.8125,14634.25,11115.0625,12356.625
"ENSMUSG00000102275",94,76.125,94,99.625,116.8125,120.96875,123.53125,113.75,86.9375,155.4375,130.625,140.96875,76.4375,101.90625,57.25,98.25
"ENSMUSG00000025903",3779.25,3305.875,3846.125,5177.1875,4436.3125,4559.3125,4681.875,5196.1875,5363.75,5154.3125,4067.8125,3581.75,3008.96875,2805.75,3105.75,2099.71875
"ENSMUSG00000033813",5503,5018.4375,5877.90625,6512.15625,6419.75,7375.8125,6221.3125,6940.4375,8218,6938.875,6787.4375,6397.84375,5051.3125,6840.46875,5417.6875,5584.5
"ENSMUSG00000062588",20,20,25.5625,20,20,20,20,20,20,25.625,20,20,20,20,20,20
"ENSMUSG00000103280",20,39.0625,20,20,20,20,20,30.4375,20,31.375,20,20,20,20,20,20
"ENSMUSG00000002459",20,20.5625,20,20,20,52.875,32.9375,39.9375,126.40625,109.375,63.3125,124.5625,50.15625,53.25,122.6875,49.125
"ENSMUSG00000085623",20,20,20,20,54.125,83.3125,98.125,91,91.4375,62.4375,62.3125,40.8125,20,20,23.3125,20
"ENSMUSG00000033793",8243.0625,7719.6875,9252.6875,9377.0625,6894.25,7679,5785.75,6238.6875,7994.0625,7783.9375,7795.625,7449.1875,5019.9375,6443.65625,5105.375,4639.625
"ENSMUSG00000025905",20,20,20,20,20,20,20,20,20,45.0625,20,20,75.59375,56.6875,99.46875,109.125
"ENSMUSG00000025907",3791.0625,4728.3125,7475.0625,6825.75,6496.75,6868.6875,4894.21875,4973.25,4448.1875,5784.25,5128.0625,4725.6875,3319.0625,4251.96875,5441.125,5107.5
"ENSMUSG00000090031",91.625,60.6875,163.78125,193.8125,127.5,122.0625,77.5625,118.84375,94,127.4375,75.3125,87.9375,48.375,105.6875,183.4375,183.3125
"ENSMUSG00000103845",20,27.125,94,73.9375,53.25,38.8125,41.8125,33.625,20,20,20,20,20,20,20,20
"ENSMUSG00000102135",23.3125,20,20,20,20,20,20,20,20,21.125,33,20,27.25,20,20,20
"ENSMUSG00000051285",6264.0625,9700.5,9134.375,7094.3125,5692.78125,5303.5,6537.0625,6512.15625,4111.75,7878.5625,4853.25,4809.8125,4262.8125,7733.8125,7845.9375,8439.0625
"ENSMUSG00000098201",20,22.6875,46.125,20,29.3125,22.1875,20,32.59375,20,35.5,20,27.09375,20,23.5,20,20
"ENSMUSG00000103509",481.5,1745.84375,1059.875,795.8125,1374.09375,1274.125,1038.9375,1026.5625,337.625,1237.5625,577.25,844.3125,244.4375,1130.09375,1030.75,1247.84375
"ENSMUSG00000048538",20,35.125,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000097797",95.75,130.09375,102.4375,180.125,107.59375,147.1875,89.1875,105.8125,79.9375,90.71875,120.75,152.34375,100.375,85.3125,66.4375,68.125
"ENSMUSG00000103067",61.375,170.46875,260.25,139.71875,288.75,327.4375,108.625,122.59375,27.5,33,20,20,20,20,20,20
"ENSMUSG00000104226",20,49.3125,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000025909",63.1875,107.59375,131.75,147.8125,180.53125,154.75,184.5,176.53125,94,217.625,72.84375,104.21875,20,31.625,20,28.0625
"ENSMUSG00000084353",20,20,20,23.5,20,20,20,20,37.25,20,24.1875,20,20,20,20,20
"ENSMUSG00000061024",5460.5,4600.4375,7438.5625,6248.28125,6094.9375,6080.75,5792.4375,5089.28125,5830.5625,4895,6554.15625,5087.78125,6369.5625,5452,4228.625,4403.9375
"ENSMUSG00000025911",535.8125,424.4375,361.9375,239.625,205.625,250,194,207.90625,104.3125,228.875,74.0625,72.90625,55.8125,177.75,145.3125,206.25
"ENSMUSG00000079671",20,41.9375,20,20,20,20,20,20,20,20,20,36.9375,20,20,20,20
"ENSMUSG00000025912",1913.90625,3079.65625,3280.34375,3121.6875,2636.125,2407.375,2734.09375,2516.53125,1544.6875,2791.75,1515.5,1462.1875,897.28125,1560.75,1492.40625,1471.90625
"ENSMUSG00000045210",4847.875,4807.8125,6497.75,6421.875,5103.375,4962.625,4000.375,4062.5625,3317.46875,4307.125,3741,4240,2939.875,3688.8125,3719.8125,3585.75
"ENSMUSG00000097893",20,20,23.5,20,20,20.1875,24.4375,20,23.40625,20,20,20,20,20,20,20
"ENSMUSG00000025915",2050.875,2236.375,2508.25,1684,1311,1312.59375,1683.65625,1995.125,1584,2247.5625,1214.5625,1240.59375,720.5625,937.6875,720.75,619.25
"ENSMUSG00000046101",199.375,377.125,441.125,494.90625,291.0625,236.1875,359.59375,315.9375,278.4375,395.71875,414.71875,326.0625,165.21875,379.78125,287.75,345.625
"ENSMUSG00000098234",2872.875,3423.875,3309.4375,2720.5625,2407.125,2808.84375,2269.84375,2418.0625,1999.25,2502.5625,2427.96875,2600.8125,1464.09375,2444.4375,1754.8125,2303.625
"ENSMUSG00000093178",95.75,135.4375,112.125,128.875,102.0625,94.875,96.1875,112.6875,126.40625,112.25,91.4375,110.5625,55.8125,95.125,81.875,77.4375
"ENSMUSG00000099032",609.5625,385.125,494.8125,393.03125,343.5625,430.1875,130.8125,260.59375,131.9375,250.90625,107.96875,134.4375,136.40625,144.8125,128.0625,138.125
"ENSMUSG00000025917",7618.8125,7141.3125,7762.625,8722.625,7923.125,8742.59375,7112,7320.8125,8076.4375,6685.875,8023.4375,7973.3125,8854.53125,7124.9375,7129.625,6894.25
"ENSMUSG00000056763",3638.9375,6813.5625,6101.8125,5738.5625,3778.03125,3864.75,3755,3548.0625,2444.75,4312.5625,3757.25,3861.4375,2652.375,4699.375,4056.875,4508.09375
"ENSMUSG00000067851",7589.8125,7267,6186.40625,6333.625,8237.25,8709.625,6190.375,6021.875,6152.875,7881.125,4533.46875,6042.3125,4641.3125,6138.1875,9310.8125,7936.1875
"ENSMUSG00000102556",28.34375,70.25,55.75,89.1875,44.1875,26.5,37.5625,36.625,20,22.1875,20,20,20,20,31.5,66.375
"ENSMUSG00000100212",20,20,20,20,20,20,24.4375,20,20,20,20,20,20,20,20,20
"ENSMUSG00000048960",3940.125,7862.4375,9679.6875,8028,11020.375,9417.9375,9793.375,8079.625,4379.25,5414.5625,4470.8125,3599.9375,2071.8125,3415.375,1890.1875,2210.6875
"ENSMUSG00000057715",811.875,968,1147.1875,778.0625,490.375,508.6875,513.5,486.75,507.8125,738.75,501.5625,483.59375,502.25,952.9375,756.1875,769.8125
"ENSMUSG00000103825",51.0625,64.4375,36.9375,44.1875,41.625,50.3125,32.9375,27.1875,22.5625,55.3125,37.25,69.40625,20,57.875,90.84375,60.125
"ENSMUSG00000103561",20,36.125,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000097628",22.375,20,20,20,20,20,20,20,29.53125,20,20,20,20,20,20,22.375
"ENSMUSG00000016918",6230.75,4322.3125,3664.3125,4794.75,5459.0625,4925.4375,8282.375,8789.625,11437.75,13035.5625,15037.4375,14369.8125,7951.6875,13563.8125,6228.1875,10555.75
"ENSMUSG00000025938",733.53125,723.09375,736.3125,614.875,1529.9375,2241.71875,776.75,830.875,596.125,999.90625,1284.4375,1200.25,819.71875,732.34375,500,627.3125
"ENSMUSG00000069620",20,20,20,20,20,28.25,31.9375,20,23.40625,20,20,20,20,20,20,20
"ENSMUSG00000099498",26.1875,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000042414",5531.75,5706.5625,3734.5,3084.84375,2657.75,2822.4375,2036.15625,2068.75,421.9375,777.8125,43.4375,20,20,20,20,20
"ENSMUSG00000005886",5530.03125,5698.5,5541.125,4971.8125,7666.34375,7451.6875,5399.1875,4639.625,4080.40625,5427.5625,3763.125,4926.3125,3782.6875,4340.8125,5449.90625,4831.75
"ENSMUSG00000103506",35.8125,46.75,32.6875,37.125,78.125,53.9375,48.4375,29.375,23.40625,53.25,34.0625,30.625,20,31.625,41.03125,62.5
"ENSMUSG00000103495",20,46.75,25.5625,20,24.75,20.4375,20,23.1875,20,20,20,20,26.375,20,41.875,20
"ENSMUSG00000103085",41.875,44.0625,44.125,64.625,31.1875,51.25,32.9375,44.96875,20,62.4375,25.0625,61.0625,20,24.6875,57.25,56.875
"ENSMUSG00000102664",20,26.28125,47.125,50.5,20,22.1875,29.3125,20,20,20.6875,22.1875,28.3125,20,21.0625,47.125,20
"ENSMUSG00000025935",11139.3125,8129.0625,10752.875,11971.5,9912.375,9472.0625,7542,7940.625,7538.1875,6617.9375,7475.0625,6772.1875,9775.125,7692.5625,8798.5,8076.4375
"ENSMUSG00000025937",10771.4375,10344.5,8358.375,8763.9375,6745.3125,7487.6875,5699.5625,6208.4375,4371.9375,5327,3416.75,3286.65625,2979.09375,5081.3125,4204.25,3690.9375
"ENSMUSG00000102982",85,164.9375,152,170.3125,104,113.125,120.0625,106.9375,48.625,121.5,64.375,92.5,40.03125,50.3125,35.125,67.1875
"ENSMUSG00000067813",25.125,32.1875,23.5,38.1875,20,20,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000097711",28.34375,20,20,20,20,20.4375,20,20,25.5,20,20,20,20,20,20,20
"ENSMUSG00000025932",2498.0625,2566.0625,1932.8125,1571.125,1477.1875,1570.25,671.46875,838.375,127.5,353.875,29.5625,41.875,46.125,69.0625,72.375,73.25
"ENSMUSG00000054493",39.9375,51.9375,104.875,87.5,99.21875,104.625,47.375,42.75,20,20,20,20,20,20,20,20
"ENSMUSG00000025930",459.8125,584.65625,6518.5,2426.75,3141.96875,3227.59375,1270.46875,1037.65625,85.9375,65.625,61.0625,20,54.0625,20,20,20
"ENSMUSG00000103492",20,21.0625,24.5625,20,20,20,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000082193",28.34375,23.5,20,20,20,20.1875,20,20,20,20,25.0625,20,20,20,22.375,33.625
"ENSMUSG00000032769",292.3125,263.46875,500.0625,416.09375,611.375,475.8125,404.25,321,107.6875,43.25,83.25,54.8125,370.90625,56.6875,459.875,239.34375
"ENSMUSG00000073737",20,20.5625,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000025925",8672.6875,8991.6875,8763.9375,9560.875,11958.8125,12383.625,9432.9375,9387,8288.59375,8846.375,7706.4375,7528.6875,6306.9375,8245.1875,7626.5,7129.625
"ENSMUSG00000104379",34.96875,148.1875,118,104.875,60.0625,92.875,94,99.625,45.0625,74.4375,47.53125,76.46875,20,23.5,25.90625,22.375
"ENSMUSG00000032719",20,72.5625,28.4375,33,20,22.1875,20,27.1875,20,20,20,20,20,20,20,20
"ENSMUSG00000043716",112915,103407.25,109336.8125,102265.75,112915,114190.9375,104482.6875,102265.75,129729.125,98151.5,107193.0625,104482.6875,129729.125,112915,134825.5,126504.75
"ENSMUSG00000025921",293.6875,366,450.625,522.875,373.625,489.125,351.1875,355.09375,451.78125,350.8125,545.65625,509.875,541.34375,375.4375,465.8125,388.6875
"ENSMUSG00000025920",536.40625,430.8125,530.0625,506.4375,414.6875,535.6875,434.625,385.125,456.25,445.5,371.9375,372.71875,488.125,443.59375,987.3125,858.96875
"ENSMUSG00000025939",1552.8125,1192.46875,1710.125,1919.3125,1672.5625,1589.5625,1064.59375,1156.65625,1282.0625,1088.6875,1270.25,1137.1875,1295.25,1017.03125,1140.5,1142.6875
"ENSMUSG00000102457",43,68,152,116.71875,165.46875,67.375,104.5625,38.875,44.0625,20,26.3125,20,20,121.78125,75.25,118.8125
"ENSMUSG00000079658",3590.625,3800,7330.875,7795.625,7059.3125,7943.875,6163.25,6709.03125,8398.8125,6036.8125,7586.9375,7452.53125,6988.25,6476.75,5353.375,5333.6875
"ENSMUSG00000025940",1246.9375,1185.84375,1136.6875,1260.375,1397.75,1466.875,1233.75,1471.3125,1854.84375,1742.46875,1662.5625,1717.3125,1618.4375,1880,1500,1709.8125
"ENSMUSG00000025779",40.875,40,99.96875,77.15625,25.625,30.6875,43,20,31.5625,20,22.1875,54.8125,20,26.6875,33.3125,20
"ENSMUSG00000091020",128.5625,104.5625,138.375,145.5,112.78125,135.28125,127.59375,124.9375,127.5,115.53125,139.8125,92.5,101.28125,71.0625,69.15625,73.25
"ENSMUSG00000042686",161.9375,201.125,179.125,193.8125,230.125,287.65625,372.8125,418.8125,1307.03125,1307.03125,2113.375,2290.125,1787.75,1836.6875,1945.1875,1638.625
"ENSMUSG00000025777",20,20,20,20,20,22.9375,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000100398",48.5625,33.1875,23.5,43.125,70.125,70.125,88,70.4375,124.375,100.3125,42.53125,31.8125,20,20,20,20
"ENSMUSG00000101589",51.9375,32.1875,20,26.75,31.9375,46.25,23.3125,40.875,37.25,25.625,20,20,26.375,27.5625,47.125,30.125
"ENSMUSG00000102048",20,20,23.5,20,20,36.125,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000085125",20,20,20,20,20,20,20,20,20,26.6875,42.53125,20,20,20,20,20
"ENSMUSG00000025776",277.53125,285.25,184.25,261.375,73.5,111.09375,68.0625,57.6875,107.6875,191.40625,267.625,207.90625,264.375,154.34375,142.21875,143.21875
"ENSMUSG00000100720",20,20,22.5625,33.875,20,21.5,28.3125,20,31.5625,20,20,20,20,20,20,20
"ENSMUSG00000100204",20,20,20,20,20,20,20,20,26.5625,20,24.1875,20,20,20,20,20
"ENSMUSG00000043760",365.875,551.8125,532.9375,457.34375,441.125,369.625,602.25,554.375,556.375,679,580.65625,574.375,267.125,244.375,138.3125,100.3125
"ENSMUSG00000041872",35.8125,62.625,64.9375,20,20.8125,20,27.25,20,20,20,20,20,20,20,20,20
"ENSMUSG00000041859",45341.8125,60861.8125,52413.125,55925.375,48277.375,49244.875,54860.4375,51531.25,46905.25,48448.0625,47553.875,44759.6875,37470.4375,45189.6875,33257.1875,38220.0625
"ENSMUSG00000025931",2840.375,2392.4375,1072,1272.75,890.5,966.6875,625.78125,692.5,225.59375,549.1875,107.96875,122.28125,211.375,144.8125,373.3125,285.0625
"ENSMUSG00000041809",688.0625,694.75,496.875,346.3125,335.25,299.375,327.34375,278.34375,85.9375,179.25,87.8125,64.625,163.6875,186.3125,284.9375,255.9375
"ENSMUSG00000041779",1523.6875,1429.1875,718.625,825.53125,855.5625,942.21875,676.25,788.8125,534.96875,792.375,219.25,601,274.75,357.125,454.15625,501.1875
"ENSMUSG00000025933",345.625,243.15625,275.8125,241.9375,279.375,300.625,319.0625,219.9375,210.5625,198.125,103.125,110.5625,288.375,101.90625,184.09375,153.25
"ENSMUSG00000102633",20,28.5625,20,20,28.375,20,24.4375,20,41.875,27.5,36.4375,47.8125,20,36.125,20,20
"ENSMUSG00000025934",912.4375,1399.53125,2201.0625,2285.0625,2049.09375,2585.84375,1915.71875,2452.3125,1570.8125,1405.6875,540.5,462.375,156.9375,122.90625,31.5,24.4375
"ENSMUSG00000099343",34.96875,48.375,29.4375,20,28.375,44.25,54.375,55.6875,38.375,37.1875,20,20,20,20,20,20
"ENSMUSG00000028033",20,20,20,20,20,20,20,20,20,20,20,20,64.9375,28.5625,124.5,120.6875
"ENSMUSG00000082935",491.59375,398.375,445.75,508.46875,444.21875,590.78125,469.125,511.46875,506.59375,477.03125,724.5625,625.1875,778.375,703.9375,581.875,855.8125
"ENSMUSG00000041670",171.28125,531.25,683.1875,474,839.9375,1012.0625,556.25,610.4375,235.375,225.59375,129.15625,188.5625,224.5625,161.6875,213.25,227.84375
"ENSMUSG00000097970",24.34375,61.625,61.9375,67.90625,35.75,41.8125,50.5,58.8125,20,54.1875,50.5625,23.5,20,40.4375,28.875,49.125
"ENSMUSG00000026158",802.625,668.375,712.5625,920.75,825.375,725.0625,846.125,1092.40625,1499.6875,1671.65625,1212.125,1456.5625,1530.75,1289.6875,1967.15625,1653.125
"ENSMUSG00000026156",63.1875,156,65.75,83.625,77.125,102.9375,63.875,85.75,46.8125,99.15625,46.4375,69.40625,27.25,102.9375,86.875,87.8125
"ENSMUSG00000026155",1774.3125,1488.6875,1533.0625,1685.6875,1491.25,1380.03125,1803.75,1549.03125,1991.53125,1776.59375,1302.3125,1288.6875,1530.75,1430.1875,1925.8125,1603.8125
"ENSMUSG00000026154",502.125,340.21875,385.125,419.1875,439.9375,476.625,523.78125,460.59375,449.75,367.4375,386.3125,266.03125,396.96875,374.21875,524.3125,506.0625
"ENSMUSG00000026153",1499.84375,1764.75,2114.5,2235.9375,2754.3125,2725.4375,2055.15625,2225.96875,2169.40625,3006.5625,3037.3125,3184.125,3143.5,4452.4375,4357.9375,3889.4375
"ENSMUSG00000102398",20,20,26.5625,20,20,20,20,20,20,20,20,20,20,42.5,31.5,59.25
"ENSMUSG00000026147",20,20,20,20,20,20,20,20,20,20,20,20,26.375,20,20,26.75
"ENSMUSG00000099997",20,20,20,20,20,20,24.4375,20,20,20,20,20,20,20,20,20
"ENSMUSG00000101939",76.40625,115.625,129.875,312.375,152.9375,237.375,139.75,298.125,85.21875,278.78125,203.5625,218.3125,52.9375,220.875,171.75,153.25
"ENSMUSG00000101111",41.875,26.28125,34.9375,64.625,22.1875,36.125,21.5,39.9375,20,57.4375,20,65.75,20,42.5,38.59375,36.75
"ENSMUSG00000102070",20,20,20,20,20,21.5,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000101249",25.125,26.28125,21.5,25.625,20,20.9375,22.5,20,20,20,20,20,20,20,20,20
"ENSMUSG00000073725",1333.0625,1183.71875,1281.4375,1218.6875,1373.0625,1344.25,1047.1875,910.5625,769.4375,847.9375,827.78125,794.5625,860.53125,1010.6875,1430.1875,1425.8125
"ENSMUSG00000033569",33,20,20,28.9375,21.28125,20,20,20,29.53125,20,31.8125,20,60.9375,23.5,85.9375,126.6875
"ENSMUSG00000102465",20,20,20,20,20,20,20,20,20,20,20,20,20,20,33.3125,20
"ENSMUSG00000103924",20,20,20,20,20,20,20,20,20,20,20,20,20,20,26.8125,20
"ENSMUSG00000104132",20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,25.5
"ENSMUSG00000086240",20,20,20,28.9375,20,20,20,20,25.5,26.6875,20,20,28.375,20,20,20
"ENSMUSG00000099492",69.375,20,46.125,22.5625,26.5625,20.4375,26.4375,38.875,28.4375,20,30.6875,24.625,35.25,28.5625,31.5,45.5
"ENSMUSG00000048874",21482.0625,29560.8125,28339.25,28681.1875,31803.0625,32159,28097.125,26923.25,16518.5625,21283.3125,18638.5625,17721.4375,14410.5625,17334.5625,18504,18731
"ENSMUSG00000103783",125,415.9375,364.8125,483.25,282.875,293.75,248.75,210.8125,111.8125,216.25,152.125,227.8125,69.375,172.1875,192.8125,160.46875
"ENSMUSG00000104315",126.53125,341.4375,412.28125,490.28125,265.125,315.375,250.09375,218.8125,96.21875,231.625,157.84375,203.9375,61.96875,152.15625,208.59375,207.125
"ENSMUSG00000026064",173.75,243.15625,531.53125,481.9375,216.0625,277,230.75,195.625,185.5625,271.5625,317.8125,310.84375,120.6875,290,209.75,266.0625
"ENSMUSG00000117091",91.625,72.5625,477.625,224.15625,458.125,158.75,364.6875,37.75,154,33.8125,98.875,20,30.4375,20,22.375,20
"ENSMUSG00000086726",20,20,21.5,20,20,20,22.5,20,22.5625,20,20,20,20,20,20,20
"ENSMUSG00000086727",52.875,37.0625,338.5,225.40625,343.5625,108.375,219.9375,45.9375,155.5,32.1875,56.875,20,29.375,20,25.90625,20
"ENSMUSG00000094215",57.75,61.625,286.5,130.25,334.46875,118.4375,189.125,50.3125,140.8125,20,77.375,20,20,20,20,20
"ENSMUSG00000070960",39.9375,27.125,20,20,20,20,20,20,27.5,20,20,20,30.4375,20,45.1875,48.125
"ENSMUSG00000026058",20,20,20,20,20,20,20,20,20,20,20,20,20,29.6875,58.875,36.75
"ENSMUSG00000026134",5221.5,5113.6875,4928.6875,5063.125,4503.96875,4857.6875,4739.84375,4830.0625,5525.75,5461.40625,5071.4375,4919.46875,4867,5776.75,4466.5625,4865.15625
"ENSMUSG00000102714",49.4375,130.09375,69.3125,75.125,68.5625,49.1875,78.9375,64.34375,47.75,94,70.8125,157.1875,48.375,49.25,64.4375,52.40625
"ENSMUSG00000103746",20,20,20,20,20,20,20,20,20,20,20,20,20,50.3125,39.4375,50.3125
"ENSMUSG00000004768",2270.96875,1979.5,1386.625,1671.1875,1829.78125,1694.9375,2569.875,2448.625,3349.4375,2359.6875,3202.375,3019.0625,3316.46875,3064.5,2865.125,2540.75
"ENSMUSG00000042215",229.46875,143.9375,160.0625,116.71875,228.53125,210.6875,191.3125,193.96875,247.625,110.5625,390.15625,240.1875,499.9375,314,708.5625,633.0625
"ENSMUSG00000042197",6437.75,6226.5625,6139.15625,6699.25,6193.375,5724.4375,5706.5625,5587.0625,6316.25,7086.0625,7350.5,7341.25,6345.3125,8293.9375,6158.09375,7411.9375
"ENSMUSG00000081402",276,235.4375,505.5625,405.125,298.34375,222.3125,178.875,179.1875,163.53125,113.34375,169.375,96.25,92.875,104.90625,24.25,22.375
"ENSMUSG00000042182",113.25,67.0625,118.8125,39.1875,65.625,32.5625,47.375,36.625,38.375,39.40625,56.875,52.53125,110.28125,102.9375,398.1875,327.0625
"ENSMUSG00000026131",57092.75,132702.8125,87537.25,74330.625,69127.375,72387.5625,64741.4375,69127.375,21045.125,58392.375,29153.3125,36329.625,22527.375,52143.3125,61139.5,99987.4375
"ENSMUSG00000103596",20,20,20,20,20,20,20,20,20,20,20,20,20,20,25.90625,20
"ENSMUSG00000103364",60.75,121.6875,90.125,85.75,57.5625,67.375,74.0625,55.6875,49.625,77.3125,27.25,74.09375,20,43.25,122.6875,72.375
"ENSMUSG00000096992",281.03125,907.5625,774.4375,860.15625,1096.1875,959.625,888.84375,595.375,301.46875,473.875,364.75,323.1875,190.5,358.78125,449.875,412.125
"ENSMUSG00000103001",65.75,97.0625,73.8125,67.90625,51.3125,58.3125,58.9375,58.8125,33.625,38.4375,20,25.8125,35.25,20,64.4375,52.40625
"ENSMUSG00000102336",40.875,49.3125,39.875,60.0625,133.75,127.4375,74.0625,63.4375,29.53125,46.75,20,62.3125,28.375,35.03125,57.25,96.25
"ENSMUSG00000042111",2077.1875,2070.34375,1972.25,2049.625,2271.625,2008.0625,2402.84375,2108.90625,3088.9375,2087.9375,2614.875,2424.5,1918.8125,1642.4375,1067.65625,1145.4375
"ENSMUSG00000101711",20,20.25,20,20,20,20.1875,20,20,20,20,20,20,20,27.5625,20,20
"ENSMUSG00000026127",6337.8125,5635.625,6422.4375,6460.15625,6337.8125,6380.6875,7453.375,7147.875,10004.84375,7297.6875,9958.4375,9697.6875,9082.1875,8369.6875,5362.5625,6243.9375
"ENSMUSG00000026126",27.25,26.28125,42.90625,24.6875,46.875,30.6875,41.8125,36.625,164.5625,130.625,178.78125,259.6875,171.375,229.8125,191.59375,232.5
"ENSMUSG00000100280",20,20,20,20,25.625,22.1875,21.0625,45.9375,62.375,33.8125,102.09375,68.3125,51.9375,55.5625,29.6875,45.5
"ENSMUSG00000026124",20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,20
"ENSMUSG00000045174",20,20,20,20,20,20,20,20,20,20,20,20,20,20,43.375,32.5
"ENSMUSG00000037509",408.09375,742,308.5,344.5625,278.4375,242.1875,545.5,488.40625,364.25,526.25,721.875,904.15625,1239.25,1254.1875,1076.5625,1143.9375
"ENSMUSG00000104002",74.125,234.5,131.75,140.71875,85.75,117.3125,102.875,147.625,67.75,78.1875,77.375,134.4375,47.3125,65.78125,74.3125,50.3125
"ENSMUSG00000037503",12765.1875,11964.0625,12765.1875,10912.5625,10603.0625,10182.90625,9983.6875,8557.3125,9252.6875,8218,9419.71875,8383.75,9974,8753.875,9181.3125,8741
"ENSMUSG00000104358",131.6875,322.5625,291.4375,326.625,214.0625,295.875,221.125,169.9375,133.125,239.5625,246.96875,266.03125,102.375,147.5,149.25,149.5625
"ENSMUSG00000026123",9450.5,9046.5,9040.75,7172.53125,6070.0625,5326,6295.4375,5703.1875,5062.28125,5482.1875,3225.90625,2808.25,1086.46875,1556.8125,847.53125,800.9375
"ENSMUSG00000102531",20,20,26.5625,20,20,20.9375,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000103708",97.625,88.96875,141,147.8125,157.875,127.4375,98.125,105.8125,107.6875,66.625,61.0625,44.1875,20,20,20,20
"ENSMUSG00000104201",20,20,20,20,22.9375,20.4375,20,20,43,33.8125,20,20,20,20,20,20
"ENSMUSG00000102434",57.75,67.0625,51.5625,75.125,105.8125,103.84375,149.84375,124.9375,97.1875,87.84375,44.34375,34.09375,20,20,20,20
"ENSMUSG00000045216",7510.75,6985.875,10570.0625,6504.875,5908.6875,5438.59375,5038.28125,4091.875,4422.125,3857.6875,3904.0625,3708.125,3708.625,3240.28125,2992.375,2417.6875
"ENSMUSG00000102202",20,73.4375,47.125,20,28.375,22.9375,30.125,20,20,26.6875,28.4375,28.3125,20,23.5,22.375,32.5
"ENSMUSG00000037470",20445.125,28818.125,22714.8125,20313.4375,19470.5625,17768.625,17797,18300.6875,11547.75,16186.1875,14648.4375,15329.25,11692.8125,16546.875,11005.5,14661.4375
"ENSMUSG00000047180",20,20,20,20,20,20,20,20,20,20,20,20,29.375,29.6875,20,20
"ENSMUSG00000037447",520.28125,473.625,551.9375,462.4375,455.125,344.375,537.96875,503.28125,370.59375,361.75,421.9375,485,378.3125,539.90625,267.90625,430.90625
"ENSMUSG00000010453",4225.3125,4335.1875,3632,3139.375,3800,3065.75,3936.84375,3479.5625,3342.8125,2632.125,3698.375,3275.8125,4212.375,3806.15625,4305.625,3903.0625
"ENSMUSG00000037432",168.8125,192.8125,104.875,109.125,96.375,135.28125,100.3125,134.25,63.4375,120.25,77.375,138.3125,129.15625,191.40625,192.8125,218
"ENSMUSG00000001143",797.8125,744.375,615,561.6875,759,783.1875,648.09375,806.0625,612.1875,638.1875,583.25,780.90625,653.90625,839.125,868.78125,966.3125
"ENSMUSG00000037408",521.6875,481.5,597.5,591.3125,445.9375,363.3125,475.1875,358.78125,437.5,416.875,664.0625,742.1875,1447.25,908.90625,1037.4375,954.875
"ENSMUSG00000104316",20,20,20,20,20,20,20,20,20,20,20,31.8125,20,32.75,29.6875,25.5
