"","genes","SRR7624365","SRR7624366","SRR7624367","SRR7624368","SRR7624369","SRR7624370","SRR7624371","SRR7624372","SRR7624373","SRR7624374","SRR7624375","SRR7624376","SRR7624377","SRR7624378","SRR7624379","SRR7624380","width"
"20011","ENSMUSG00000104814",243,469,304,371,419,425,356,371,301,393,313,346,248,291,392,270,2228
"20012","ENSMUSG00000104815",20,20,20,20,26,34,97,119,85,107,259,164,45,76,32,31,280
"20013","ENSMUSG00000104822",50,60,45,83,35,44,40,40,31,40,24,26,20,20,31,24,2312
"20014","ENSMUSG00000104823",30,28,22,44,28,26,32,42,34,45,28,28,26,47,38,38,2528
"20015","ENSMUSG00000104828",20,20,20,20,20,20,20,20,20,20,20,20,20,20,22,22,3073
"20016","ENSMUSG00000104830",20,37,20,20,22,26,33,20,23,36,29,33,28,54,45,55,2448
"20017","ENSMUSG00000104852",55,72,31,60,20,39,21,29,20,66,45,39,20,66,115,57,3416
"20018","ENSMUSG00000104859",20,20,20,20,20,20,20,20,20,20,26,25,20,20,20,20,2532
"20019","ENSMUSG00000104862",32,26,24,20,28,27,24,20,20,22,28,20,42,20,20,26,410
"20020","ENSMUSG00000104868",20,20,21,20,72,80,20,20,20,20,20,20,20,20,20,20,4725
"20021","ENSMUSG00000104872",31,20,38,29,25,29,20,20,20,20,20,20,20,24,29,20,634
"20022","ENSMUSG00000104873",20,20,28,22,20,31,26,22,20,20,20,20,32,28,48,42,938
"20023","ENSMUSG00000104877",20,20,20,20,20,20,20,20,20,20,20,20,20,31,20,26,1339
"20024","ENSMUSG00000104887",20,20,20,20,20,20,20,20,20,20,24,24,20,20,20,20,102265
"20025","ENSMUSG00000104891",27,67,68,72,35,31,46,35,28,38,33,42,23,39,71,51,1263
"20026","ENSMUSG00000104897",21,40,29,32,20,37,20,27,20,40,32,35,20,40,32,43,558
"20027","ENSMUSG00000104900",20,21,21,20,33,20,29,20,20,20,30,20,20,20,28,20,1591
"20028","ENSMUSG00000104901",20,20,20,20,35,20,44,61,20,41,20,20,20,20,20,20,2833
"20029","ENSMUSG00000104903",58,81,22,66,47,46,43,52,29,39,37,73,30,28,71,41,3187
"20030","ENSMUSG00000104910",20,30,29,33,20,24,33,23,20,43,23,20,20,26,39,35,1689
"20031","ENSMUSG00000104913",1077,456,255,356,280,282,249,266,428,517,484,458,728,727,523,458,1591
"20032","ENSMUSG00000104918",210,169,239,208,356,430,114,148,68,108,42,48,30,73,152,142,3980
"20033","ENSMUSG00000104925",20,66,51,54,47,33,47,24,46,63,76,48,37,62,54,52,2241
"20034","ENSMUSG00000104927",20,49,22,22,20,20,20,20,20,33,20,20,20,20,20,20,24117
"20035","ENSMUSG00000104935",94,71,42,59,74,127,107,136,97,80,65,67,20,45,53,53,3188
"20036","ENSMUSG00000104936",20,20,20,20,20,20,20,20,20,20,20,20,20,20,28,20,2235
"20037","ENSMUSG00000104943",22,42,30,24,31,38,46,20,20,61,20,20,20,20,23,20,2697
"20038","ENSMUSG00000104945",25,20,20,20,20,20,20,20,20,20,20,30,20,20,20,20,5626
"20039","ENSMUSG00000104946",20,44,21,35,20,20,26,20,20,39,20,26,20,20,30,24,679
"20040","ENSMUSG00000104947",20,20,20,20,20,20,31,23,29,26,20,21,20,20,34,22,2313
"20041","ENSMUSG00000104950",40,85,53,62,46,45,63,45,21,43,30,30,20,20,49,20,1946
"20042","ENSMUSG00000104951",20,20,20,20,20,20,26,20,20,22,20,20,20,20,23,20,1566
"20043","ENSMUSG00000104960",2823,2262,2036,1903,1976,1939,1929,1660,1731,1732,2679,2043,2287,2992,2677,3215,853
"20044","ENSMUSG00000104963",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,34,2654
"20045","ENSMUSG00000104964",20,20,20,20,20,20,20,20,20,23,20,20,20,20,20,24,911
"20046","ENSMUSG00000104965",40,48,32,22,28,20,20,26,24,20,20,20,20,40,28,36,3955
"20047","ENSMUSG00000104966",20,24,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2594
"20048","ENSMUSG00000104968",99,288,127,121,286,296,527,604,425,784,940,793,361,608,371,514,3016
"20049","ENSMUSG00000104969",20,20,35,20,45,60,52,56,20,44,30,21,32,39,76,57,2091
"20050","ENSMUSG00000104970",20,20,20,20,25,20,27,20,20,20,20,20,20,20,20,21,594
"20051","ENSMUSG00000104973",20,28,42,49,48,29,34,36,20,22,20,20,24,26,55,29,2288
"20052","ENSMUSG00000104974",22,33,20,20,20,20,20,20,20,20,20,20,20,20,22,28,2439
"20053","ENSMUSG00000104983",34,41,56,54,47,50,36,33,28,57,38,53,36,65,59,35,2087
"20054","ENSMUSG00000104986",20,20,35,58,54,70,34,32,20,57,37,41,32,163,116,133,1007
"20055","ENSMUSG00000104994",20,20,20,20,20,20,20,20,20,20,20,20,20,20,28,24,2306
"20056","ENSMUSG00000105004",20,20,20,20,20,20,20,20,20,20,20,20,20,20,34,20,3905
