"","genes","SRR7624365","SRR7624366","SRR7624367","SRR7624368","SRR7624369","SRR7624370","SRR7624371","SRR7624372","SRR7624373","SRR7624374","SRR7624375","SRR7624376","SRR7624377","SRR7624378","SRR7624379","SRR7624380","width"
"1","ENSMUSG00000000001",11975,8459,8310,11622,14396,16250,12278,12531,17195,14307,17708,12700,18707,10846,19786,12686,38867
"2","ENSMUSG00000000028",7193,6870,5756,7728,7718,8010,8442,7709,9370,8976,7022,5571,6459,5846,4146,4026,31541
"3","ENSMUSG00000000031",20,20,20,20,27,20,22,20,87,83,191,115,620,433,636,535,2615
"4","ENSMUSG00000000037",603,1320,881,1506,1673,1783,1281,1430,1308,1596,1258,1115,632,751,354,310,175689
"5","ENSMUSG00000000056",3734,2531,1523,2118,1092,1395,1268,1968,2173,2921,1448,1317,3150,1997,2868,2407,18604
"6","ENSMUSG00000000058",20,20,20,20,20,20,20,20,20,20,20,20,20,20,54,33,7931
"7","ENSMUSG00000000078",7302,3823,6094,6637,3699,5449,2586,2908,3538,4415,2090,1538,2997,2182,15458,7313,8913
"8","ENSMUSG00000000085",874,684,605,575,622,545,798,493,1727,1073,1075,962,359,419,551,310,124906
"9","ENSMUSG00000000088",11709,7081,7349,6771,8906,9233,7642,7069,7689,5141,4621,3712,6202,3831,4641,3608,11153
"10","ENSMUSG00000000093",77,37,134,66,45,36,20,20,20,20,20,20,20,20,20,20,9398
"11","ENSMUSG00000000094",174,97,67,69,436,221,491,291,482,252,299,160,231,86,103,109,29676
"12","ENSMUSG00000000103",72,63,65,84,60,79,29,56,48,117,50,66,42,65,20,22,64395
"13","ENSMUSG00000000120",4197,2189,1235,1794,2087,1893,2401,2096,1798,1236,286,228,67,79,22,20,18918
"14","ENSMUSG00000000125",41,54,53,35,20,20,20,20,20,20,169,102,430,231,245,447,43808
"15","ENSMUSG00000000126",32,20,20,20,24,34,28,20,30,41,70,41,105,135,310,123,26625
"16","ENSMUSG00000000127",3040,2499,2103,2307,2830,2995,2561,2760,3132,3173,2262,1746,2240,2477,2428,1945,276435
"17","ENSMUSG00000000131",19309,14741,11085,11217,12038,13102,12561,11605,15002,12254,15102,13082,14512,10721,12152,8768,98787
"18","ENSMUSG00000000134",6945,5449,4277,4117,6166,7015,7783,6649,12474,9464,10715,8508,8639,5863,6260,4707,12643
"19","ENSMUSG00000000142",11863,4714,4455,3748,1791,1614,2773,2408,3186,2746,1062,1179,1097,689,1524,1168,30435
"20","ENSMUSG00000000148",2625,2116,906,955,2293,2738,2158,1916,1756,1757,1290,1188,2168,1297,1931,1294,14369
"21","ENSMUSG00000000149",4186,2627,2691,2490,6191,7366,4132,3187,5254,3241,3487,2912,5860,3367,6595,4079,72024
"22","ENSMUSG00000000154",347,149,144,71,75,120,80,128,103,119,20,20,51,34,97,43,25599
"23","ENSMUSG00000000167",65,55,51,86,152,155,97,112,130,77,118,91,139,63,84,79,7680
"24","ENSMUSG00000000168",11359,7462,6749,7170,7016,7507,6698,6628,8042,7099,7149,5556,10406,6940,10758,8403,25148
"25","ENSMUSG00000000171",13679,8579,6841,9462,8887,9126,8534,8496,11012,7887,9041,6801,9841,6247,8614,6095,7456
"26","ENSMUSG00000000184",121,69,52,248,1351,1074,2496,4049,2972,4092,457,809,532,778,305,159,27032
"27","ENSMUSG00000000194",12885,9183,7400,7479,9071,9269,8615,7404,6092,5742,4499,3511,4273,4143,4492,4029,66460
"28","ENSMUSG00000000197",305,360,305,280,177,195,105,141,98,166,50,51,142,116,358,316,350511
"29","ENSMUSG00000000202",26,20,75,66,92,147,48,36,90,97,386,268,395,137,88,45,4729
"30","ENSMUSG00000000204",20,90,68,53,97,74,87,68,82,86,20,20,20,21,20,20,15031
"31","ENSMUSG00000000214",26,20,20,20,20,20,23,20,43,25,53,27,55,20,20,20,38377
"32","ENSMUSG00000000223",124,226,129,135,94,73,141,162,92,95,61,38,39,20,46,31,52023
"33","ENSMUSG00000000244",228,182,135,144,601,571,939,825,592,455,229,235,47,105,20,20,14599
"34","ENSMUSG00000000247",92,71,52,70,103,89,44,48,21,32,23,20,22,20,20,20,30453
"35","ENSMUSG00000000253",395,171,175,185,391,297,276,218,380,280,265,162,376,195,357,303,46357
"36","ENSMUSG00000000266",28,20,36,24,30,34,20,20,20,20,20,20,20,20,40,20,103117
"37","ENSMUSG00000000275",18984,14827,10436,10205,18468,20382,14830,14412,14708,12983,9028,9165,8177,5223,4823,4611,20918
"38","ENSMUSG00000000276",2596,2499,5363,5239,5488,6109,4734,4802,4788,4687,1689,1549,1012,1278,936,892,31672
"39","ENSMUSG00000000278",30133,20835,16349,14612,12060,13292,13277,13064,12215,14161,7325,5985,8142,8915,8276,7344,31446
"40","ENSMUSG00000000282",3735,1825,2206,1559,792,850,1325,853,1813,1078,1428,1350,1548,650,1895,691,14806
"41","ENSMUSG00000000290",20,20,20,20,20,20,22,20,20,20,51,20,97,49,43,51,35457
"42","ENSMUSG00000000295",2838,2501,2429,2702,2718,2939,2336,2342,3034,2739,2471,2239,3450,3175,2834,2729,14822
"43","ENSMUSG00000000296",2935,1709,1859,1789,2010,2532,1179,1181,1344,1300,1161,871,1449,1575,1289,1174,113583
"44","ENSMUSG00000000301",295,232,248,251,366,283,365,309,362,259,269,285,457,263,386,294,75876
"45","ENSMUSG00000000303",66063,55499,32482,39065,33730,49141,27466,33439,33176,40143,46373,45220,53881,61529,65662,64652,66896
"46","ENSMUSG00000000305",396,409,345,296,734,605,1425,995,688,404,263,254,562,367,400,254,456943
"47","ENSMUSG00000000308",6149,3473,2625,2156,1420,1933,1041,904,637,670,377,214,828,321,1201,731,6024
"48","ENSMUSG00000000317",28,24,20,20,36,51,100,143,440,263,1063,1068,896,449,402,337,5671
"49","ENSMUSG00000000318",20,32,61,35,82,40,57,20,54,20,27,20,20,20,20,20,14638
"50","ENSMUSG00000000320",543,440,558,310,102,123,38,24,20,41,35,27,223,134,236,197,13897
"51","ENSMUSG00000000326",2888,1933,1485,1701,2077,2250,1752,1595,1606,1227,877,773,1784,1059,1692,1307,19967
"52","ENSMUSG00000000339",2654,1844,1782,1861,2313,2577,2077,1864,2274,1945,1921,1416,2865,1969,2581,2153,19246
"53","ENSMUSG00000000340",5488,3956,3983,3380,4707,5190,3573,3660,3435,4002,3620,2373,3177,2832,2176,1946,36912
"54","ENSMUSG00000000346",6722,4962,5587,5893,4222,5384,3706,3514,4091,3375,3798,2781,3768,2819,3942,2667,5413
"55","ENSMUSG00000000355",1624,934,938,1217,1222,1424,947,1270,1767,1491,1342,951,2271,1455,2136,1426,12849
"56","ENSMUSG00000000359",20,20,20,25,20,20,20,20,20,20,20,20,20,20,20,20,8248
"57","ENSMUSG00000000365",15051,15321,13031,14311,13945,14469,9976,11052,13920,16135,17001,12314,11463,13393,5144,4232,122452
"58","ENSMUSG00000000374",3778,3391,2622,2816,3645,3783,3952,3477,4140,3871,3672,3392,3772,3217,3121,2688,57917
"59","ENSMUSG00000000378",2636,1642,1387,1257,1499,1486,1545,1269,1901,1411,1814,1449,2717,1583,2948,1970,49858
"60","ENSMUSG00000000384",9730,7635,7113,7114,8326,8926,9631,7530,12175,7676,11993,8410,11857,7815,7006,6240,10470
"61","ENSMUSG00000000385",20,20,20,22,381,223,141,114,44,20,20,20,56,72,175,178,46514
"62","ENSMUSG00000000386",20,35,20,20,20,20,22,20,20,20,20,20,20,20,20,20,15873
"63","ENSMUSG00000000399",10765,7236,7254,7685,8301,9522,6905,6680,7823,6698,6633,4926,8712,6428,7823,6836,27416
"64","ENSMUSG00000000402",432,417,497,507,843,793,986,829,1068,906,462,373,134,127,74,74,62714
"65","ENSMUSG00000000409",893,810,387,483,476,515,692,869,1120,1067,984,863,2038,1288,1197,890,25298
"66","ENSMUSG00000000411",20,20,20,20,20,20,20,20,20,20,20,20,21,20,52,26,2009
"67","ENSMUSG00000000416",1206,1092,746,1090,708,731,246,207,52,129,74,57,89,41,307,181,148366
"68","ENSMUSG00000000420",11197,8705,7305,8161,6644,7900,4745,4477,3797,3483,2167,1728,2066,2028,4146,2940,81475
"69","ENSMUSG00000000435",20,20,20,20,20,20,20,20,20,20,28,30,58,20,20,20,3227
"70","ENSMUSG00000000439",4132,3073,2352,2473,2700,2867,2775,2550,2950,2634,2092,1755,3308,2399,3321,2535,20723
"71","ENSMUSG00000000441",9070,7241,6975,7954,8344,9892,8224,7741,8455,6530,6939,5453,7902,5446,6140,5355,58569
"72","ENSMUSG00000000486",16625,13203,7482,10000,13139,18047,18553,19804,15963,14101,4789,4067,1109,1380,198,185,18684
"73","ENSMUSG00000000489",784,451,129,162,218,375,74,105,73,106,71,125,108,126,530,188,19104
"74","ENSMUSG00000000530",115,114,26,41,108,114,95,114,99,143,61,112,54,47,31,20,16815
"75","ENSMUSG00000000531",3557,2329,1560,1584,629,617,425,457,355,306,152,178,344,169,210,168,8569
"76","ENSMUSG00000000532",6711,5647,3003,3575,4629,3970,3698,2783,1533,2081,1485,1393,2543,2184,3704,2640,39618
"77","ENSMUSG00000000538",1646,1361,962,867,1113,1217,1090,789,697,836,420,439,498,555,862,688,126192
"78","ENSMUSG00000000544",10536,6402,4414,4041,5757,4954,6973,5820,7085,5988,2674,2298,782,1823,163,173,36273
"79","ENSMUSG00000000552",1233,552,410,319,380,328,436,293,472,341,477,458,839,554,570,468,26199
"80","ENSMUSG00000000555",4647,3705,2969,3204,4347,4787,3397,3222,2088,2285,1671,1704,1689,1617,2207,1571,22478
"81","ENSMUSG00000000561",8100,6194,7079,9257,9927,10968,9638,9777,12519,7670,10835,7643,12276,5447,6652,4955,10669
"82","ENSMUSG00000000563",28608,16527,17711,19656,18941,21049,15370,15777,19711,15178,16408,11792,21895,15195,18283,15319,17402
"83","ENSMUSG00000000568",11425,8701,6409,6923,6535,7506,7613,7039,10230,8370,8312,8867,10186,7017,9484,6717,23004
"84","ENSMUSG00000000579",140,179,126,134,127,131,161,166,126,177,145,150,155,201,123,124,8104
"85","ENSMUSG00000000581",2583,1744,2584,2918,3423,3812,2366,2156,2570,1674,1894,1332,2322,1739,2479,2247,11598
"86","ENSMUSG00000000594",4962,2684,2293,2185,1264,1556,882,1023,914,1946,376,478,943,1284,1345,1198,14915
"87","ENSMUSG00000000600",3734,3665,3453,3862,4558,4991,3602,3492,3463,3421,2850,2062,2412,2731,3664,3013,42381
"88","ENSMUSG00000000605",804,740,1030,998,848,950,438,303,397,477,357,282,590,461,726,626,18543
"89","ENSMUSG00000000606",20,26,20,20,20,20,20,20,20,32,20,24,20,21,20,20,9902
"90","ENSMUSG00000000617",20,20,20,20,86,77,106,93,504,146,773,852,458,321,82,283,15524
"91","ENSMUSG00000000627",981,585,509,320,446,389,233,207,160,127,53,72,85,56,123,72,27885
"92","ENSMUSG00000000628",50368,47680,22081,29374,27776,38952,18740,22319,14073,22686,18899,18840,13394,11361,8151,7327,49430
"93","ENSMUSG00000000631",7007,7150,3260,4083,4155,5391,4921,5117,2426,3310,1222,1332,2030,2586,4490,3539,102735
"94","ENSMUSG00000000632",21,22,20,20,38,33,98,33,93,31,119,41,148,90,152,105,48249
"95","ENSMUSG00000000682",20,20,23,20,20,20,20,20,20,20,20,20,20,20,20,20,12635
"96","ENSMUSG00000000686",29,25,29,28,20,27,20,20,20,24,21,20,20,20,21,20,23487
"97","ENSMUSG00000000693",197,163,180,245,343,268,381,351,180,220,166,164,185,210,208,233,18390
"98","ENSMUSG00000000706",52,32,22,37,25,38,20,20,20,20,20,20,20,20,24,34,8910
"99","ENSMUSG00000000708",18316,14150,14035,13904,15155,18051,12663,12654,14265,13559,10424,8238,7118,8958,3805,4010,105860
"100","ENSMUSG00000000711",4615,3067,2394,2319,3003,2997,2408,2385,2158,2254,1302,1146,1764,1717,2890,2029,19090
"101","ENSMUSG00000000724",25,90,21,50,40,29,61,65,37,51,36,47,28,30,29,20,6669
"102","ENSMUSG00000000730",697,1124,439,1327,14475,15500,35401,38542,69441,54243,42919,33282,13426,14753,987,1009,21676
"103","ENSMUSG00000000731",260,412,53,90,458,595,1384,2202,4347,4698,1372,2190,383,940,35,21,13589
"104","ENSMUSG00000000732",359,362,374,497,1336,1555,1677,1793,3002,2179,1295,1586,944,1137,558,403,14612
"105","ENSMUSG00000000738",7155,4702,3796,3867,3049,3362,3658,3322,4382,4643,3202,2771,4104,3672,5646,4572,34819
"106","ENSMUSG00000000739",141,41,87,45,140,66,55,50,27,26,92,61,208,90,153,134,18124
"107","ENSMUSG00000000740",72593,35968,38924,31169,39211,41638,35361,31608,43821,29741,30371,27464,48464,36983,39905,39809,2895
"108","ENSMUSG00000000743",7037,4706,4643,5477,5668,6587,6073,5168,6481,4360,5163,3615,5439,3477,4329,3724,8500
"109","ENSMUSG00000000751",29962,27453,21264,29688,28184,28569,32535,30619,34951,27998,29215,22831,28042,25668,22315,21015,50159
"110","ENSMUSG00000000753",78,50,241,55,95,43,31,20,46,49,163,116,1045,1036,250,330,12933
"111","ENSMUSG00000000759",3273,3356,2644,3108,3591,4227,3106,3198,2404,2115,2209,1604,2532,1708,2857,2505,57972
"112","ENSMUSG00000000766",20,20,20,20,20,20,20,20,30,20,38,20,21,20,38,46,279693
"113","ENSMUSG00000000776",2485,1582,2198,1837,2737,2506,2613,2094,3595,1743,2951,1996,3839,1699,2592,1916,4691
"114","ENSMUSG00000000782",6606,3028,2808,2620,2950,3134,2641,2195,3696,3026,3682,2990,5833,3541,6606,4712,30961
"115","ENSMUSG00000000787",56889,47388,63486,77109,75018,86464,62503,61553,73074,70567,80188,53631,93161,91247,71330,70608,13083
"116","ENSMUSG00000000791",55,38,20,20,20,23,37,56,48,60,61,79,127,88,94,97,12976
"117","ENSMUSG00000000792",20,47,46,46,57,46,144,136,486,353,1019,860,1357,684,1273,666,9869
"118","ENSMUSG00000000794",20,25,24,42,125,82,84,136,44,51,20,20,20,46,20,28,154969
"119","ENSMUSG00000000804",8840,7183,5071,5436,4164,4920,3392,3645,3440,4495,3194,3170,3597,3437,5099,3703,155720
"120","ENSMUSG00000000805",20,20,20,20,20,20,48,103,1268,709,5951,4640,11331,8179,12583,12975,8259
"121","ENSMUSG00000000811",1732,1351,1250,1436,1567,1670,1665,1626,2177,2006,1684,1392,1614,1005,1005,763,31542
"122","ENSMUSG00000000823",2748,2458,1627,1577,1892,2274,2974,2687,3513,2655,3238,2737,3267,2308,2786,2106,10701
"123","ENSMUSG00000000826",9210,7121,7956,8501,7615,8014,7851,7503,8724,6423,7806,6109,9396,7267,7201,5832,34649
"124","ENSMUSG00000000827",9944,7035,6060,7135,8292,9792,8316,8034,10381,7993,8492,6445,9844,7610,8523,7614,20825
"125","ENSMUSG00000000838",8426,6483,6598,8049,8362,8963,6570,6691,8036,7025,5934,4320,5798,4486,8569,5201,39423
"126","ENSMUSG00000000861",84,20,20,20,91,107,229,330,971,766,1953,1812,1182,1233,945,779,96068
"127","ENSMUSG00000000869",20,38,21,20,44,40,25,24,20,21,20,20,30,20,21,20,15688
"128","ENSMUSG00000000876",970,706,503,602,530,569,487,489,430,440,287,181,451,382,474,434,17951
"129","ENSMUSG00000000881",3868,3165,2033,2345,3853,3197,3354,3389,3445,3672,3162,2560,3768,3214,4112,3126,50689
"130","ENSMUSG00000000884",1121,837,686,619,684,544,882,696,675,557,575,429,1218,1014,1111,876,67967
"131","ENSMUSG00000000901",4300,3352,2083,1608,1402,1503,1494,1535,1645,1746,720,820,697,969,1025,820,13275
"132","ENSMUSG00000000902",12704,7865,6754,6889,9389,9209,11646,8951,13047,8445,10382,7517,9965,6948,11026,7818,24849
"133","ENSMUSG00000000903",93,80,46,40,57,52,36,50,70,72,54,49,55,50,61,63,6601
"134","ENSMUSG00000000915",1460,1305,836,686,956,962,616,515,375,536,521,517,1035,1014,2929,2353,31931
"135","ENSMUSG00000000916",1655,1262,1147,1359,2110,2228,2266,1983,2334,1574,2524,1961,3198,1936,1669,1462,6853
"136","ENSMUSG00000000934",724,512,430,299,361,314,339,282,471,448,345,268,887,646,1007,1002,21766
"137","ENSMUSG00000000938",30,77,80,160,191,236,199,194,63,46,20,20,20,20,20,20,9658
"138","ENSMUSG00000000942",23,20,40,20,31,38,20,20,20,20,20,20,20,20,20,20,2083
"139","ENSMUSG00000000948",658,881,1075,1416,1577,1614,2292,2454,3518,4335,5727,4370,3392,6057,11918,9026,30916
"140","ENSMUSG00000000957",460,258,166,296,745,454,967,746,963,592,679,478,1094,495,1696,1079,13753
"141","ENSMUSG00000000958",598,589,361,581,7560,7094,11289,10195,18037,14026,14077,11599,13865,12360,10032,12475,48339
"142","ENSMUSG00000000959",10538,5940,5056,4694,6326,6416,5952,5387,4932,4781,4727,4206,6027,4619,5740,4486,8840
"143","ENSMUSG00000000976",3310,2677,2031,2151,2806,3033,2918,2729,2754,2272,2635,2262,3558,1703,2791,1948,30059
"144","ENSMUSG00000000982",25,22,42,40,24,20,26,20,34,20,20,20,20,20,20,20,1512
"145","ENSMUSG00000001016",20758,15898,15180,16324,19842,20523,19446,17822,21527,16719,18096,13000,18744,13673,16761,14261,12254
"146","ENSMUSG00000001017",16383,14657,13382,16968,14860,16387,14018,13573,16204,12651,13981,9970,14179,10409,11823,9204,10543
"147","ENSMUSG00000001018",3574,2385,2214,2317,2831,3451,2522,2355,2433,2052,2071,1813,2400,2247,3003,2489,3008
"148","ENSMUSG00000001021",20,20,20,20,29,55,20,20,20,20,20,20,20,20,20,20,18044
"149","ENSMUSG00000001025",130,158,934,559,4768,8052,2975,3109,2052,1426,548,471,258,147,258,110,11300
"150","ENSMUSG00000001027",24,20,20,20,20,20,20,20,20,20,22,20,24,26,20,20,34697
"151","ENSMUSG00000001029",38,53,34,41,56,52,86,66,97,72,33,38,20,20,20,20,10420
"152","ENSMUSG00000001034",3461,2166,1586,1638,2619,2333,4151,2894,4741,2527,3817,2544,4270,1822,3000,1601,5595
"153","ENSMUSG00000001036",11662,9737,5390,5948,7320,6826,8191,7813,10162,9050,6036,5790,6123,6007,5665,4889,62439
"154","ENSMUSG00000001039",1734,1700,1156,1407,1610,1838,2233,2276,3625,2769,3939,2819,4712,3736,3008,2764,7788
"155","ENSMUSG00000001052",2722,1888,1257,1261,2117,1992,1962,1454,2222,1641,1603,1996,2033,1300,2616,1690,78795
"156","ENSMUSG00000001053",4587,3149,1462,2027,4677,5366,3349,3084,2031,2029,1672,1552,2150,1490,1779,1520,7780
"157","ENSMUSG00000001054",6924,4633,3008,3053,3897,4571,3173,3260,2964,2904,1268,1332,1473,1435,2045,1616,12226
"158","ENSMUSG00000001056",14129,9810,10165,10933,14043,16536,13442,12357,21784,12224,21152,16581,28314,17687,15301,15072,3980
"159","ENSMUSG00000001062",824,699,580,443,649,631,616,477,464,355,434,312,441,370,561,367,11993
"160","ENSMUSG00000001065",949,948,797,621,892,1097,875,903,551,522,413,328,438,328,444,422,15551
"161","ENSMUSG00000001076",20,25,33,20,28,45,20,20,25,20,20,20,20,20,20,20,3732
"162","ENSMUSG00000001082",5231,4076,3288,3534,3419,3536,4591,3512,4442,3511,4064,3293,4708,2651,3053,2373,3571
"163","ENSMUSG00000001089",11432,10943,8880,10392,14902,17351,14509,15064,14125,14989,10840,10301,11179,11476,10212,9297,85020
"164","ENSMUSG00000001095",39,26,20,20,23,20,20,33,20,22,20,20,20,20,20,20,25131
"165","ENSMUSG00000001098",1469,1030,1032,1065,1405,1773,1097,891,1145,902,1487,1111,1739,1151,1675,1078,16942
"166","ENSMUSG00000001100",14198,9517,8119,9174,13269,14376,14563,13682,14038,10293,6530,5366,7984,6302,7817,7468,10544
"167","ENSMUSG00000001103",34,59,48,28,27,44,49,60,20,23,20,25,23,25,23,25,1635
"168","ENSMUSG00000001105",2129,1670,1636,1814,2249,2574,1998,2041,2400,1782,1848,1330,1816,1029,1177,1126,5377
"169","ENSMUSG00000001119",86,46,35,20,20,20,20,20,20,20,20,20,22,20,36,29,17377
"170","ENSMUSG00000001120",581,399,310,340,461,386,558,463,1044,667,628,581,1631,1091,1931,1278,200031
"171","ENSMUSG00000001123",122,118,166,259,99,70,88,44,211,175,395,304,363,258,87,85,21973
"172","ENSMUSG00000001127",6081,4910,4230,3975,4416,4627,5034,4220,4595,3791,3704,2692,4647,3737,4347,3652,62706
"173","ENSMUSG00000001128",1061,887,569,650,422,347,395,414,159,197,114,69,91,132,128,151,6102
"174","ENSMUSG00000001131",4084,2450,1984,1929,3147,4335,2118,1876,1618,1147,725,584,1021,657,549,458,4570
"175","ENSMUSG00000001134",1076,800,759,896,881,1175,844,993,1217,913,1005,889,1449,1071,1209,1214,20296
"176","ENSMUSG00000001138",2600,1831,1187,1123,1669,1572,1984,1423,2514,1654,2558,2241,3091,1900,3767,2235,16371
"177","ENSMUSG00000001143",1118,795,537,504,820,873,644,769,642,626,497,553,701,732,995,872,25401
"178","ENSMUSG00000001150",27105,21244,15635,20952,19525,21653,23642,22633,25194,21584,23429,17580,19559,10976,8760,7555,46931
"179","ENSMUSG00000001151",18902,21399,15512,16202,17558,20052,20414,16378,11806,15512,15519,13221,10518,9309,8889,8004,91524
"180","ENSMUSG00000001156",910,845,1015,1230,568,646,505,459,408,519,247,221,230,290,329,247,22120
"181","ENSMUSG00000001157",4089,2785,2145,2576,2974,2899,2750,2783,2973,2878,1806,1417,2369,1664,2627,1648,41616
"182","ENSMUSG00000001158",3513,2522,2339,2861,2851,3300,3128,2889,3594,2869,2715,2143,4574,2601,3929,3058,9372
"183","ENSMUSG00000001166",150,90,51,71,130,125,179,187,160,155,87,82,193,169,248,159,12321
"184","ENSMUSG00000001168",20,24,20,20,20,20,20,20,20,20,20,20,20,20,20,20,12086
"185","ENSMUSG00000001173",5369,4245,3489,3677,2534,2818,2249,2301,2102,2753,1083,1124,2005,1670,3561,2621,53482
"186","ENSMUSG00000001175",22438,16060,15801,22930,26873,29498,25680,27271,33193,25541,26674,21045,32318,18957,23123,15529,10380
"187","ENSMUSG00000001211",3915,2263,2021,1829,2772,2879,2700,2498,2980,2261,3226,2313,4476,3441,4650,6228,83312
"188","ENSMUSG00000001227",153,91,70,80,93,103,80,118,146,112,143,146,356,203,426,191,17259
"189","ENSMUSG00000001228",72702,70236,43144,63064,45202,47676,61995,57514,75577,60840,59644,47256,51119,29567,26295,18636,20166
"190","ENSMUSG00000001229",3509,2110,1796,2141,2735,2718,3128,2327,4293,2670,4116,3519,5668,2771,4408,3047,32099
"191","ENSMUSG00000001240",160,75,48,46,45,58,30,48,121,92,589,496,662,475,326,292,13519
"192","ENSMUSG00000001247",664,410,503,327,384,338,422,313,956,654,2096,1528,4177,1436,2425,1792,15695
"193","ENSMUSG00000001248",5623,5630,2387,2098,2325,2775,1750,2175,1422,1961,1012,987,1304,826,2212,1297,25770
"194","ENSMUSG00000001249",59,44,58,36,21,35,40,28,260,229,527,340,1365,634,1363,767,16566
"195","ENSMUSG00000001270",73544,41976,44841,33214,31039,34325,19107,16053,6668,4839,1336,1190,1888,1244,2486,1991,2978
"196","ENSMUSG00000001280",27934,25428,20113,22930,22923,25374,24298,26849,27715,35046,26713,25488,20455,21901,21790,20303,30262
"197","ENSMUSG00000001281",947,977,542,460,435,445,939,1005,1080,1202,540,454,364,334,113,131,15950
"198","ENSMUSG00000001285",3721,2754,2406,2483,3496,3755,3845,3507,4252,3219,3283,2754,4107,2785,2989,2584,6431
"199","ENSMUSG00000001288",5057,3567,2313,3398,9023,8490,13616,11578,17160,11375,10224,8897,9637,9348,7948,6048,22580
"200","ENSMUSG00000001289",7430,5391,4446,4910,4943,7336,5392,5847,6362,5326,4937,4023,5801,4369,5798,5685,5758
"201","ENSMUSG00000001300",476,257,517,548,930,999,2131,1991,6650,4591,6109,4874,3990,4098,2779,2382,43809
"202","ENSMUSG00000001305",6837,5153,5500,5798,8418,8801,7191,6542,8686,6015,8418,5524,7853,6197,6398,5909,28381
"203","ENSMUSG00000001313",1578,944,917,958,842,1026,713,773,1167,1008,1230,876,2244,1037,1201,828,6855
"204","ENSMUSG00000001323",356,414,490,540,340,441,388,331,237,314,363,275,222,263,375,339,19590
"205","ENSMUSG00000001333",370,305,314,282,256,332,210,221,91,111,83,110,91,84,83,90,20943
"206","ENSMUSG00000001334",32,31,43,47,108,54,75,72,104,64,50,52,216,125,304,298,7595
"207","ENSMUSG00000001348",924,738,687,560,209,117,193,240,194,300,273,240,361,365,286,250,8985
"208","ENSMUSG00000001349",20,21,23,20,20,20,20,20,64,38,129,102,558,453,2687,1867,10415
"209","ENSMUSG00000001366",1384,1239,926,1036,1591,1569,1201,1191,1635,935,1573,1112,1881,811,1199,959,27567
"210","ENSMUSG00000001376",10066,7931,6045,8041,10863,11601,9094,9391,10769,9101,8430,6002,6275,6028,5497,4534,105150
"211","ENSMUSG00000001380",10307,7082,6914,7793,9292,9284,9353,8921,10880,8652,9912,7329,13044,7495,8556,7141,16678
"212","ENSMUSG00000001383",7698,5758,6277,6727,8162,8385,8169,7523,10368,6947,8877,5436,10839,6821,7179,6356,5791
"213","ENSMUSG00000001403",14156,9072,9756,12473,12576,14547,13484,11217,18986,12474,14166,10705,15767,8656,10828,7462,8925
"214","ENSMUSG00000001415",14898,14111,14648,16198,12586,14831,16318,14443,16956,13883,14279,11409,16450,16032,12081,12093,26079
"215","ENSMUSG00000001416",73746,53481,51253,57628,66792,69855,65751,64302,75960,63048,76419,55597,91777,64752,60521,52615,24652
"216","ENSMUSG00000001418",12092,9246,7221,7027,5009,5046,4555,4032,4214,3581,2719,2032,3091,2251,3143,2197,6291
"217","ENSMUSG00000001419",2236,1260,937,735,1311,1245,1673,1172,1951,1503,1299,1437,2004,1332,2063,1131,29715
"218","ENSMUSG00000001420",424,202,258,230,149,210,350,339,857,500,562,442,658,483,587,428,7494
"219","ENSMUSG00000001424",27696,22799,19193,18170,17071,16923,17374,16794,13926,18128,12964,10914,14560,13227,18976,17236,460024
"220","ENSMUSG00000001435",11438,9458,6416,6250,16259,15639,31156,24611,47595,34246,48863,36487,50300,38132,43225,33849,114371
"221","ENSMUSG00000001436",1526,944,536,672,1029,982,1041,1075,1686,1244,1905,1523,2640,1170,1253,864,28762
"222","ENSMUSG00000001440",82009,80293,56646,72652,88834,94945,98935,94972,104775,95889,134570,99184,122541,88779,78613,65030,28168
"223","ENSMUSG00000001441",15989,10863,5855,6449,5940,7031,7067,7296,7991,8442,6144,7337,7064,4166,6325,3777,74797
"224","ENSMUSG00000001444",58,98,130,97,52,76,44,60,82,48,40,44,74,46,22,20,17261
"225","ENSMUSG00000001445",5585,4325,3169,3617,4047,4317,4585,4252,5424,4206,4480,3444,5504,3569,4519,4154,7654
"226","ENSMUSG00000001467",12379,9277,6732,13086,10417,11110,10917,12853,17026,17298,15818,11187,14817,10557,7998,6235,23602
"227","ENSMUSG00000001472",17255,14067,11436,12912,12460,14842,12771,13016,18281,15162,14786,11950,17457,11507,16763,13796,30083
"228","ENSMUSG00000001473",5415,4729,4151,5758,5416,6847,5476,4840,7568,5662,5388,4296,12751,7003,17817,10999,12033
"229","ENSMUSG00000001482",7315,4830,2863,3416,5341,5645,5668,5009,7143,5370,5087,4328,5076,3328,3425,2679,39744
"230","ENSMUSG00000001493",20,20,20,20,20,20,20,36,52,20,56,20,25,20,20,20,16865
"231","ENSMUSG00000001504",1159,494,537,484,502,439,327,185,165,85,70,45,125,102,55,37,5379
"232","ENSMUSG00000001506",68,54,37,41,27,20,31,33,21,20,39,50,74,20,79,21,16819
"233","ENSMUSG00000001507",965,1760,1474,1555,4624,5779,6560,6297,6363,3845,8946,7498,7748,5157,7187,5706,32328
"234","ENSMUSG00000001510",20,20,20,20,20,20,20,20,20,20,20,20,42,25,20,20,5178
"235","ENSMUSG00000001517",5490,3769,2836,2912,4591,5955,3974,2921,4195,3018,3534,3269,4770,2789,5046,3230,13180
