external_gene_name,ensembl_gene_id,SRR7624365,SRR7624366,SRR7624367,SRR7624368,SRR7624369,SRR7624370,SRR7624371,SRR7624372,SRR7624373,SRR7624374,SRR7624375,SRR7624376,SRR7624377,SRR7624378,SRR7624379,SRR7624380
Cspg4,ENSMUSG00000032911,30,22,24,10,8,10,26,7,22,28,100,56,106,83,91,58
Gm47237,ENSMUSG00000110888,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Snx33,ENSMUSG00000032733,116,76,94,126,152,138,40,64,68,60,272,208,598,428,928,613
4930442G15Rik,ENSMUSG00000111629,0,2,0,0,2,0,0,0,0,0,0,0,0,0,4,3
Gm19936,ENSMUSG00000110930,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Imp3,ENSMUSG00000032288,5207,2621,2920,2914,3445,3988,2375,2474,3586,3396,3324,3096,5945,3230,4847,3877
Snupn,ENSMUSG00000055334,1722,1279,1034,1186,1750,2088,1636,1517,1666,1537,1444,1049,1977,1406,1375,1199
Ptpn9,ENSMUSG00000032290,1291,972,935,1133,1795,2101,1057,1081,813,995,1029,821,2305,1351,2720,2047
Gm10658,ENSMUSG00000074284,60,55,43,52,49,54,56,39,38,38,27,30,34,13,68,27
Sin3a,ENSMUSG00000042557,20748,19814,12945,17058,21969,24988,20858,21436,20844,24278,22798,20694,21730,15029,17934,14475
Man2c1os,ENSMUSG00000086728,95,183,106,210,152,184,154,153,91,160,171,185,72,129,104,138
Man2c1,ENSMUSG00000032295,5355,5553,3640,3461,3009,3811,3665,3145,3113,3518,2793,2277,3640,3267,5122,4164
Neil1,ENSMUSG00000032298,866,613,443,308,284,280,354,389,367,452,259,229,418,359,679,485
Commd4,ENSMUSG00000032299,7063,5610,3957,4617,3534,4591,3448,3323,4180,3113,3041,2426,4153,2483,2347,2106
1700041C23Rik,ENSMUSG00000100282,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Trcg1,ENSMUSG00000070298,10,14,6,7,7,13,11,6,1,9,5,3,2,10,9,6
1700017B05Rik,ENSMUSG00000032300,3218,1640,1736,1447,3476,2902,3221,1976,4742,2607,4952,4095,9387,3682,7811,3936
Gm18996,ENSMUSG00000111457,2,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0
Gm5121,ENSMUSG00000066626,13,7,4,15,8,5,12,12,6,2,10,6,7,10,9,10
Ppcdc,ENSMUSG00000063849,1401,2060,883,849,1499,1813,1896,1928,1926,1605,1626,1382,1368,1488,1586,1426
Scamp5,ENSMUSG00000040722,6326,4111,3037,3073,3491,3521,3129,2822,2978,2379,2993,2237,3889,2913,3598,2799
D9Wsu149,ENSMUSG00000111380,26,6,18,12,14,10,8,2,19,10,19,10,28,8,13,12
Gm18103,ENSMUSG00000111414,0,6,5,0,0,0,0,0,0,0,0,2,0,0,0,0
Gm6166,ENSMUSG00000074280,120,192,131,114,200,155,90,144,414,316,809,571,1910,961,1105,912
Rpp25,ENSMUSG00000062309,10480,6919,6380,7178,5446,6439,4917,4441,4466,2956,2134,1701,2531,1085,656,621
Cox5a,ENSMUSG00000000088,11709,7081,7349,6771,8906,9233,7642,7069,7689,5141,4621,3712,6202,3831,4641,3608
Gm26631,ENSMUSG00000097445,78,102,126,124,131,120,75,104,68,69,33,52,36,47,30,30
Fam219b,ENSMUSG00000032305,2472,1995,1246,1353,1906,1913,1995,1642,2031,1770,1798,1383,2106,1941,2112,1813
Mpi,ENSMUSG00000032306,4057,2765,2205,2723,3066,3111,3279,3093,3216,2636,3532,2579,4688,2650,3550,2842
Scamp2,ENSMUSG00000040188,3020,2298,2822,2668,2806,2921,2360,2112,2776,2157,2641,2139,3316,1684,2283,1671
Ulk3,ENSMUSG00000032308,559,474,179,223,183,169,179,184,250,249,170,246,420,422,559,446
Cplx3,ENSMUSG00000039714,4,1,8,4,0,0,0,1,6,0,12,12,68,78,37,48
Lman1l,ENSMUSG00000056271,2,4,2,2,1,9,0,0,0,0,0,1,3,1,6,2
Csk,ENSMUSG00000032312,3727,1845,1568,1467,2285,2105,2087,1529,2743,1589,2225,1683,3434,1385,3088,1760
Cyp1a2,ENSMUSG00000032310,24,16,26,46,38,24,32,25,70,31,31,11,25,5,4,0
Cyp1a1,ENSMUSG00000032315,716,213,6762,2630,244,259,34,14,81,24,89,15,63,24,46,14
